PREVIOUS WORD		FROM		TO		SCORE

MD		VBP		VB		54
MD		NN		VB		45
PRP		VBN		VBD		35
PRP		VB		VBP		32
NNP		VBN		VBD		31
PRP		POS		VBZ		31
NNS		VB		VBP		30
TO		VBP		VB		28
TO		NN		VB		27
VB		VBD		VBN		22
VBD		VBD		VBN		17
VBP		VBD		VBN		17
DT		VB		NN		17
VBN		VBZ		NNS		12
TO		VBN		VB		12
MD		VBN		VB		12
IN		VB		NN		12
JJ		VB		NN		10
EX		POS		VBZ		10
NN		VB		NN		8
DT		POS		VBZ		7
NNP		VB		VBP		6
<s>		NNPS		NNS		5
WP		VBN		VBD		5
VBN		VBD		VBN		5
,		RP		RB		5
RB		RP		IN		5
NN		EX		RB		4
NNS		EX		RB		4
IN		POS		VBZ		4
NN		RP		RB		4
IN		RP		RB		4
VBD		VBZ		NNS		3
CD		RB		IN		3
VBN		EX		RB		3
NNPS		VBN		VBD		3
NN		JJR		RBR		3
NNPS		VB		VBP		3
``		JJS		RBS		2
NN		JJS		NN		2
VB		VBZ		NNS		2
PRP$		VBZ		NNS		2
TO		IN		DT		2
PRP$		VBD		JJ		2
TO		VBD		VB		2
MD		VBD		VB		2
VBZ		JJR		RBR		2
VBN		JJR		RBR		2
VBG		JJR		RBR		2
CD		VB		NN		2
WP		VB		VBP		2
WP		POS		VBZ		2
PRP		NNS		VBZ		2
WP$		NNP		JJ		2
CC		RP		IN		2
MD		IN		VB		2
VBZ		VBD		VBN		1
VBZ		RP		IN		1
-RRB-		VBG		NN		1
MD		RBR		RB		1
PRP		RBR		RB		1
,		RBR		JJ		1
WP		JJS		RBS		1
MD		JJS		RBS		1
JJ		VBZ		NNS		1
VBZ		VBZ		NNS		1
POS		VBZ		NNS		1
VBG		NNPS		NNS		1
JJ		MD		NN		1
VBG		EX		RB		1
VB		EX		RB		1
WDT		VBN		VBD		1
CD		VBN		VBD		1
PRP$		VBN		JJ		1
POS		VBN		JJ		1
JJR		VBD		VBN		1
MD		JJR		RBR		1
VBP		VB		VBN		1
JJR		VB		NN		1
JJS		VB		NN		1
PRP$		VB		NN		1
POS		VB		NN		1
WDT		VB		VBP		1
.		POS		''		1
JJ		VBP		NN		1
VB		VBP		NN		1
PRP$		VBP		JJ		1
VBP		VBP		VB		1
VBZ		VBP		VB		1
RP		RP		RB		1
DT		RP		RB		1
RB		EX		RB		1
